time_idx,target,stallion
0,58.36734483626632,B
1,22.887043969927657,B
2,96.35364171515248,C
3,18.6741872548112,A
4,72.29601277245592,C
5,88.66667513487425,B
6,52.574846619443186,C
7,62.839061013432506,C
8,42.65288343198409,C
9,22.016785387045722,C
10,72.14063864234647,B
11,51.408670907476825,A
12,29.658287813252016,C
13,60.284702262178435,A
14,28.150409352506024,A
15,64.79893716377241,B
16,14.767008317688079,C
17,27.289095744595226,A
18,77.15181649528701,C
19,0.3529058975506483,C
20,96.19059144801591,C
21,44.55707122908571,C
22,32.3043572802903,C
23,14.5120044636612,B
24,32.993721829746825,B
25,27.62380159303117,C
26,96.17149647324207,A
27,19.147743624286072,C
28,47.001665341332696,B
29,78.11742758401495,B
30,90.80137690299105,B
31,37.20330768844112,C
32,38.721993682255665,A
33,20.113650939422946,A
34,72.37298934799435,A
35,25.934809713917637,C
36,6.02107412763181,A
37,31.655229485017855,A
38,2.414816376405471,C
39,55.84114348514729,B
40,78.16749278652573,B
41,44.669844804607116,A
42,64.22289537210636,B
43,0.6302444610895352,B
44,71.57166412422107,B
45,76.92837241907556,C
46,31.784189505767056,B
47,77.28363772812585,B
48,19.289805059071764,C
49,73.70568708383867,A
50,43.74174125550469,A
51,11.200220858684284,C
52,9.343362076386653,B
53,85.79283232517002,C
54,63.81860006556623,A
55,35.17570239927872,A
56,31.199973037259543,A
57,25.53562570113408,C
58,58.61060690155894,B
59,14.67037871061969,A
60,52.211677486673366,A
61,2.517868102662957,C
62,98.0519811749968,B
63,70.24567615305777,C
64,92.85335777236318,C
65,33.24308502078942,B
66,27.115218410059317,A
67,73.18722926226029,C
68,29.522831970692675,B
69,35.43919676802868,A
70,44.44660331382217,A
71,43.97775342901902,B
72,37.98643015904041,A
73,11.480163121934195,A
74,70.72251159286725,B
75,90.05143981590581,A
76,12.241533653947323,A
77,63.60550973523969,B
78,54.787794974509964,A
79,96.46427400475116,A
80,62.723516203587415,C
81,2.8695634634281153,A
82,41.474373004593524,A
83,31.069127169841472,C
84,46.40684396814366,B
85,16.54677845842719,B
86,59.04335775198382,B
87,15.077551294306046,A
88,84.51486853588706,C
89,55.90829185761898,B
90,92.44347872315039,C
91,54.80467623638937,A
92,51.92279536716994,B
93,38.16557044594507,B
94,4.523611995693955,A
95,18.65104336783423,C
96,79.81127537257677,B
97,24.935774327120253,C
98,43.66704435975054,A
99,12.584021693951343,B
100,48.462899456869145,B
101,28.63924674894459,C
102,36.13037713086257,B
103,47.20413968594405,A
104,60.77662275446536,B
105,15.10983385910606,C
106,93.21421266276585,B
107,21.44812853779413,A
108,61.307236167356095,A
109,67.35226357008541,C
110,33.43871940011219,C
111,26.189001045047345,B
112,25.187167549300714,C
113,75.85628559586647,A
114,5.931448256609951,B
115,25.662101001035907,B
116,35.94623784056674,C
117,27.179864660014186,B
118,45.43141739875646,B
119,7.73549376537892,A
120,52.59031839805791,A
121,20.30436714491165,A
122,82.1887584983489,B
123,58.39444083752664,C
124,32.42164760718562,C
125,41.43696036065258,C
126,77.03993878974254,C
127,82.32286367208678,B
128,42.374235625697146,B
129,94.88881720913665,B
130,31.57525349687431,C
131,69.25174628957991,B
132,42.70656074004189,A
133,53.462917809876345,C
134,14.407116836143807,B
135,88.73281488759707,C
136,93.12167672065547,C
137,54.00695525404996,A
138,44.09795345463936,A
139,97.70320138144109,B
140,1.2388098608554943,A
141,1.6666478114234606,A
142,15.683959334854357,B
143,40.57349353216494,B
144,8.939856423819215,C
145,60.02992061699568,C
146,19.869214501772703,C
147,2.9417170275577775,B
148,48.65976516036983,C
149,73.2818738412726,A
150,40.399449972622115,B
151,18.312449804993204,B
152,56.87105414112457,B
153,88.48558481625332,C
